SalesOrderNumber,OrderDate,Year,Quarter,YearQuarter,Month,ProductKey,Category,Subcategory,ModelName,Color,CustomerKey,CustomerName,Gender,AgeGroup,Education,Region,SalespersonID,SalespersonName,SupervisorName,SalesReasonName,SalesReasonType,Quantity,UnitPrice,UnitCost,SalesAmount,TotalCost,Profit,ShippingDays
SO43697,2005-07-01,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,21768,Cole Watson,M,55 - 64,Bachelors,Canada,6,Kayan Walters,Rudi Chung,Manufacturer,Other,2,160.5,107,321.0,214,107.0,7
SO43698,2005-07-01,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,28389,Rachael Martinez,F,35 - 44,High School,France,7,King Landry,Benn Pitt,Price,Other,27,232.5,155,6277.5,4185,2092.5,7
SO43699,2005-07-01,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,25863,Sydney Wright,F,55 - 64,High School,United States,1,Aahil Mullen,Benn Pitt,Price,Other,9,232.5,155,2092.5,1395,697.5,7
SO43700,2005-07-01,2005,Q3,2005-Q3,7,336,Bikes,Road Bikes,Road-650,Black,14501,Ruben Prasad,M,65+,Graduate Degree,United States,4,Fintan Knott,Patrycja Bloggs,Price,Other,9,214.5,143,1930.5,1287,643.5,7
SO43701,2005-07-01,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,11003,Christy Zhu,F,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,18,232.5,155,4185.0,2790,1395.0,7
SO43702,2005-07-02,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,27645,Colin Anand,M,45 - 54,High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,9,163.5,109,1471.5,981,490.5,7
SO43703,2005-07-02,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,16624,Albert Alvarez,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,9,160.5,107,1444.5,963,481.5,7
SO43704,2005-07-02,2005,Q3,2005-Q3,7,351,Bikes,Mountain Bikes,Mountain-100,Black,11005,Julio Ruiz,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,9,247.5,165,2227.5,1485,742.5,7
SO43705,2005-07-02,2005,Q3,2005-Q3,7,344,Bikes,Mountain Bikes,Mountain-100,Silver,11011,Curtis Lu,M,45 - 54,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,6,226.5,151,1359.0,906,453.0,7
SO43706,2005-07-03,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27621,Edward Brown,M,35 - 44,Graduate Degree,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,6,166.5,111,999.0,666,333.0,7
SO43707,2005-07-03,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27616,Emma Brown,F,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,2,166.5,111,333.0,222,111.0,7
SO43708,2005-07-03,2005,Q3,2005-Q3,7,330,Bikes,Road Bikes,Road-650,Red,20042,Brad Deng,M,25 - 34,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,6,205.5,137,1233.0,822,411.0,7
SO43709,2005-07-03,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,16351,Martha Xu,F,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,4,169.5,113,678.0,452,226.0,7
SO43710,2005-07-03,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,16517,Katrina Raji,F,25 - 34,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,172.5,115,1035.0,690,345.0,7
SO43711,2005-07-04,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,27606,Courtney Edwards,F,45 - 54,Partial College,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,10,172.5,115,1725.0,1150,575.0,7
SO43712,2005-07-04,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13513,Abigail Henderson,F,65+,Bachelors,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,10,163.5,109,1635.0,1090,545.0,7
SO43713,2005-07-05,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,27601,Sydney Rogers,F,55 - 64,Partial High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,10,160.5,107,1605.0,1070,535.0,7
SO43714,2005-07-05,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13591,Latasha Alonso,F,55 - 64,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,10,163.5,109,1635.0,1090,545.0,7
SO43715,2005-07-05,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,16483,Warren Jai,M,55 - 64,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,10,172.5,115,1725.0,1150,575.0,7
SO43716,2005-07-05,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,16529,Jonathon Gutierrez,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,10,163.5,109,1635.0,1090,545.0,7
SO43717,2005-07-05,2005,Q3,2005-Q3,7,336,Bikes,Road Bikes,Road-650,Black,25249,Alexandra Watson,F,45 - 54,Partial College,Australia,9,Rabia Silva,Rudi Chung,Price,Other,10,214.5,143,2145.0,1430,715.0,7
SO43718,2005-07-06,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,27668,Kevin Gonzalez,M,55 - 64,Graduate Degree,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,10,163.5,109,1635.0,1090,545.0,7
SO43719,2005-07-06,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27612,Lucas Hill,M,45 - 54,High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,20,166.5,111,3330.0,2220,1110.0,7
SO43720,2005-07-06,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13264,Melanie Sanchez,F,45 - 54,High School,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,11,163.5,109,1798.5,1199,599.5,7
SO43721,2005-07-06,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,13590,Louis Xie,M,55 - 64,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,22,160.5,107,3531.0,2354,1177.0,7
SO43722,2005-07-07,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,13581,Albert Blanco,M,55 - 64,Partial College,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,6,166.5,111,999.0,666,333.0,7
SO43723,2005-07-07,2005,Q3,2005-Q3,7,332,Bikes,Road Bikes,Road-650,Black,14520,Bonnie Xu,F,25 - 34,Partial College,United States,1,Aahil Mullen,Benn Pitt,Price,Other,6,208.5,139,1251.0,834,417.0,7
SO43724,2005-07-07,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,16520,Misty Raji,F,25 - 34,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,163.5,109,981.0,654,327.0,7
SO43725,2005-07-08,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13258,Anne Dominguez,F,45 - 54,Partial College,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,12,163.5,109,1962.0,1308,654.0,7
SO43726,2005-07-08,2005,Q3,2005-Q3,7,332,Bikes,Road Bikes,Road-650,Black,14560,Kelvin Huang,M,35 - 44,Bachelors,United States,4,Fintan Knott,Patrycja Bloggs,Price,Other,12,208.5,139,2502.0,1668,834.0,7
SO43727,2005-07-08,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,16607,Logan Gonzales,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,12,163.5,109,1962.0,1308,654.0,7
SO43728,2005-07-09,2005,Q3,2005-Q3,7,313,Bikes,Road Bikes,Road-150,Red,27666,Alyssa Garcia,F,45 - 54,Partial High School,United States,4,Fintan Knott,Patrycja Bloggs,Manufacturer,Other,3,169.5,113,508.5,339,169.5,7
SO43729,2005-07-09,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,11238,Mayra Prasad,F,45 - 54,Bachelors,United Kingdom,10,Roshan Jeffery,Benn Pitt,Price,Other,3,232.5,155,697.5,465,232.5,7
SO43730,2005-07-09,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,25861,Garrett Cooper,M,55 - 64,Partial High School,United States,4,Fintan Knott,Patrycja Bloggs,Price,Other,3,232.5,155,697.5,465,232.5,7
SO43731,2005-07-09,2005,Q3,2005-Q3,7,314,Bikes,Road Bikes,Road-150,Red,16629,Rosa Zheng,F,35 - 44,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,12,172.5,115,2070.0,1380,690.0,7
SO43732,2005-07-09,2005,Q3,2005-Q3,7,350,Bikes,Mountain Bikes,Mountain-100,Black,11025,Alejandro Beck,M,55 - 64,Partial High School,Australia,9,Rabia Silva,Rudi Chung,Price,Other,60,244.5,163,14670.0,9780,4890.0,7
SO43733,2005-07-09,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27577,Patrick Cook,M,45 - 54,Bachelors,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,2,166.5,111,333.0,222,111.0,7
SO43734,2005-07-10,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,27604,Richard Brooks,M,45 - 54,High School,United States,1,Aahil Mullen,Benn Pitt,Manufacturer,Other,27,166.5,111,4495.5,2997,1498.5,7
SO43735,2005-07-10,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,16522,Casey Pal,F,25 - 34,High School,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,27,160.5,107,4333.5,2889,1444.5,7
SO43736,2005-07-10,2005,Q3,2005-Q3,7,346,Bikes,Mountain Bikes,Mountain-100,Silver,11002,Ruben Torres,M,35 - 44,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Price,Other,27,232.5,155,6277.5,4185,2092.5,7
SO43737,2005-07-11,2005,Q3,2005-Q3,7,311,Bikes,Road Bikes,Road-150,Red,13261,Lindsey Andersen,F,45 - 54,Partial College,Germany,8,Meerab Yang,Rudi Chung,Manufacturer,Other,9,163.5,109,1471.5,981,490.5,7
SO43738,2005-07-11,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,11606,Melody Ramos,F,25 - 34,Partial High School,France,7,King Landry,Benn Pitt,Manufacturer,Other,6,166.5,111,999.0,666,333.0,7
SO43739,2005-07-11,2005,Q3,2005-Q3,7,310,Bikes,Road Bikes,Road-150,Red,13563,Phillip Sai,M,35 - 44,Graduate Degree,United Kingdom,10,Roshan Jeffery,Benn Pitt,Manufacturer,Other,3,160.5,107,481.5,321,160.5,7
SO43740,2005-07-11,2005,Q3,2005-Q3,7,312,Bikes,Road Bikes,Road-150,Red,16527,Cory Arun,M,25 - 34,Bachelors,Australia,9,Rabia Silva,Rudi Chung,Manufacturer,Other,6,166.5,111,999.0,666,333.0,7
